Location (from NCBI, GRCh38 (hg38))	Cyto Location	Gene	Dosage Data	Gene Name	Gene MIM#	Phenotype	Inheritance	Phenotype MIM#	Chromosome	Start	End
chr1:1-2,300,000 (S) (I)	1p36.33	C1DUPp36.33	NA	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	618815	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster	Autosomal dominant	618815	chr1	1	2300000  
chr1:1-27,600,000 (S) (I)	1p36	DEL1p36	NA	Chromosome 1p36 deletion syndrome, proximal	619343	Chromosome 1p36 deletion syndrome, proximal	Autosomal dominant	619343	chr1	1	27600000  
chr1:1,335,278-1,349,418	1p36.33	DVL1	NA	dishevelled segment polarity protein 1	601365	Robinow syndrome, autosomal dominant 2	Autosomal dominant	616331	chr1	1335278	1349418
chr1:1,512,162-1,534,685	1p36.33	ATAD3A	NA	ATPase family AAA domain containing 3A	612316	Harel-Yoon syndrome	Autosomal dominant, Autosomal recessive	617183	chr1	1512162	1534685
chr1:1,512,162-1,534,685	1p36.33	ATAD3A	NA	ATPase family AAA domain containing 3A	612316	Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal	Autosomal recessive	618810	chr1	1512162	1534685
chr1:1,534,778-1,540,624	1p36.33	TMEM240	NA	transmembrane protein 240	616101	Spinocerebellar ataxia 21	Autosomal dominant	607454	chr1	1534778	1540624
chr1:1,785,286-1,891,087	1p36.33	GNB1	Yes	G protein subunit beta 1	139380	Intellectual developmental disorder, autosomal dominant 42	Autosomal dominant	616973	chr1	1785286	1891087
chr1:1,785,286-1,891,087	1p36.33	GNB1	Yes	G protein subunit beta 1	139380	Leukemia, acute lymphoblastic, somatic	Autosomal dominant	613065	chr1	1785286	1891087
chr1:1,785,286-1,891,087	1p36.33	GNB1	Yes	G protein subunit beta 1	139380	Myelodysplastic syndrome, somatic	Autosomal dominant	614286	chr1	1785286	1891087
chr1:2,019,345-2,030,758	1p36.33	GABRD	Yes	gamma-aminobutyric acid type A receptor subunit delta	137163	{Epilepsy, idiopathic generalized, 10}	Autosomal dominant	613060	chr1	2019345	2030758
chr1:2,019,345-2,030,758	1p36.33	GABRD	Yes	gamma-aminobutyric acid type A receptor subunit delta	137163	{Epilepsy, juvenile myoclonic, susceptibility to}	Autosomal dominant	613060	chr1	2019345	2030758
chr1:2,019,345-2,030,758	1p36.33	GABRD	Yes	gamma-aminobutyric acid type A receptor subunit delta	137163	{Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}	Autosomal dominant	613060	chr1	2019345	2030758
chr1:2,228,319-2,310,213	1p36.33-p36.32	SKI	Yes	SKI proto-oncogene	164780	Shprintzen-Goldberg syndrome	Autosomal dominant	182212	chr1	2228319	2310213
chr1:2,508,537-2,526,596	1p36.32	PANK4	Yes	pantothenate kinase 4 (inactive)	606162	?Cataract 49	Autosomal dominant	619593	chr1	2508537	2526596
chr1:3,069,203-3,438,621	1p36.32	PRDM16	Yes	PR/SET domain 16	605557	Cardiomyopathy, dilated, 1LL	Autosomal dominant	615373	chr1	3069203	3438621
chr1:3,069,203-3,438,621	1p36.32	PRDM16	Yes	PR/SET domain 16	605557	Left ventricular noncompaction 8	Autosomal dominant	615373	chr1	3069203	3438621
chr1:6,101,787-6,180,321	1p36.31	CHD5	Yes	chromodomain helicase DNA binding protein 5	610771	Parenti-Mignot neurodevelopmental syndrome	Autosomal dominant	619873	chr1	6101787	6180321
